date,name,rank,nationality,branch,age,country,province,where,source,cause,state,city,state_pop_2010
2021-08-26,"Soviak, Maxton W.",Hospital Corpsman,United States,U.S. Navy,22,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Ohio,Berlin Heights,11536504
2021-08-26,"Nikoui, Kareem M.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,California,Norco,37253956
2021-08-26,"Espinoza, David Lee",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Texas,Rio Bravo,25145561
2021-08-26,"McCollum, Rylee J.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Wyoming,Jackson,563626
2021-08-26,"Schmitz, Jared M.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Missouri,St. Charles,5988927
2021-08-26,"Lopez, Hunter",Corporal,United States,U.S. Marine,22,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,California,Indio,37253956
2021-08-26,"Hoover Jr., Darin Taylor",Staff Sergeant,United States,U.S. Marine,31,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Utah,Salt Lake City,2763885
2021-08-26,"Page, Daegan William-Tyeler",Corporal,United States,U.S. Marine,23,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Nebraska,Omaha,1826341
2021-08-26,"Rosario, Johanny",Sergeant,United States,U.S. Marine,25,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Massachusetts,Lawrence,6547629
2021-08-26,"Gee, Nicole L.",Sergeant,United States,U.S. Marine,23,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,California,Sacramento,37253956
2021-08-26,"Sanchez, Humberto A.",Corporal,United States,U.S. Marine,22,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Indiana,Logansport,6483802
2021-08-26,"Merola, Dylan R.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,California,Rancho Cucamonga,37253956
2021-08-26,"Knauss, Ryan C.",Staff Sergeant,United States,U.S. Army,23,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide bomber,Tennessee,Corryton,6346105
2020-11-27,"Leli, Kelliann",Captain,United States,U.S. Air Force,30,Afghanistan,NA,Al Dhafra Air Base,non-hostile,vehicle accident,New Jersey,Parlin,8791894
2020-07-12,"Allbaugh, Joseph Trent",1st Lieutenant,United States,U.S. Army,24,Afghanistan,Kandahar,Kandahar,non-hostile,incident,California,Folsom,37253956
2020-07-03,"Ibarria, Vincent Sebastian",Specialist,United States,U.S. Army,21,Afghanistan,Faryab,Farah,non-hostile,vehicle accident (rollover),Texas,San Antonio,25145561
2020-05-19,"Bowman, Trevarius Ravon",1st Lieutenant,United States,U.S. Army,25,Afghanistan,Parwan,Bagram Air Force Base,non-hostile,NA,South Carolina,Spartanburg,4625364
2020-02-12,"Kimball, Branden Tyme",Specialist,United States,U.S. Army,21,Afghanistan,Parwan,Bagram,non-hostile,NA,Oregon,Central Point,3831074
2020-02-08,"Rodriguez, Antonio Rey",Sergeant 1st Class,United States,U.S. Army,28,Afghanistan,Nangarhar,Nangarhar,hostile,hostile fire - small arms fire - green on blue,New Mexico,Las Cruces,2059179
2020-02-08,"Gutierrez, Javier Jaguar",Sergeant 1st Class,United States,U.S. Army,28,Afghanistan,Nangarhar,Nangarhar,hostile,hostile fire - small arms fire - green on blue,Texas,San Antonio,25145561
2020-01-27,"Phaneuf, Ryan S.",Captain,United States,U.S. Dept. of the Air Force,30,Afghanistan,Ghazni,Ghazni province,non-hostile,aircraft crash,New Hampshire,Hudson,1316470
2020-01-27,"Voss, Paul K.",Lieutenant Colonel,United States,U.S. Dept. of the Air Force,46,Afghanistan,Ghazni,Ghazni province,non-hostile,aircraft crash,Guam,Yigo,NA
2020-01-11,"Villalon, Miguel",Private 1st Class,United States,U.S. Army,21,Afghanistan,Kandahar,Kandahar,hostile,hostile fire - ied attack,Illinois,Joliet,12830632
2020-01-11,"McLaughlin, Ian P.",Staff Sergeant,United States,U.S. Army,29,Afghanistan,Kandahar,Kandahar,hostile,hostile fire - ied attack,Virginia,Newport News,8001024
2019-12-23,"Goble, Michael J.",Sergeant 1st Class,United States,U.S. Army,33,Afghanistan,Kunduz,Safarbai area of Chahar Dara district,hostile,hostile fire,New Jersey,Washington Township,8791894
2019-11-20,"Knadle, David C.",Chief Warrant Officer 2,United States,U.S. Army,33,Afghanistan,Logar,Charkh district,non-hostile,helicopter crash,Texas,Tarrant,25145561
2019-11-20,"Fuchigami Jr., Kirk T.",Chief Warrant Officer (CW5),United States,U.S. Army,25,Afghanistan,Logar,Charkh district,non-hostile,helicopter crash,Hawaii,Keaau,1360301
2019-09-16,"Griffin, Jeremy W.",Sergeant 1st Class,United States,U.S. Army,40,Afghanistan,Wardak,Wardak Province,hostile,hostile fire - small arms fire,Tennessee,Greenbrier,6346105
2019-09-05,"Ortiz, Elis A. Barreto",Sergeant 1st Class,United States,U.S. Army,34,Afghanistan,Kabul,Kabul,hostile,hostile fire - car bomb,Puerto Rico,Morovis,NA
2019-08-29,"Ard, Dustin B.",Sergeant 1st Class,United States,U.S. Army,31,Afghanistan,Zabul,Zabul Province,hostile,hostile fire,Utah,Hyde Park,2763885
2019-08-21,"Gonzalez, Jose J.",Master Sergeant,United States,U.S. Army,35,Afghanistan,Faryab,Faryab Province,hostile,friendly fire - small arms fire,California,La Puente,37253956
2019-08-21,"DeLeon-Figueroa, Luis F.",Master Sergeant,United States,U.S. Army,31,Afghanistan,Faryab,Faryab Province,hostile,friendly fire - small arms fire,Massachusetts,Chicopee,6547629
2019-07-29,"Kreischer, Brandon Jay",Private First Class,United States,U.S. Army,20,Afghanistan,Uruzgan,Tarin Kowt,hostile,hostile fire - small arms fire - green on blue,Ohio,Stryker,11536504
2019-07-29,"Nance, Michael Isaiah",Specialist,United States,U.S. Army,24,Afghanistan,Uruzgan,Tarin Kowt,hostile,hostile fire - small arms fire - green on blue,Illinois,Chicago,12830632
2019-07-17,"Saldana, Slayton",Aviation Electronics Technician 2nd Class,United States,U.S. Navy,24,Afghanistan,Unknown,onboard USS Abraham Lincoln (CVN 72),non-hostile,drowning,Virginia,Not reported yet,8001024
2019-07-13,"Sartor, James G.",Sergeant Major,United States,U.S. Army,40,Afghanistan,Faryab,Faryab Province,hostile,hostile fire - small arms fire,Texas,Teague,25145561
2019-06-30,"Robbins, Elliott J.",Sergeant 1st Class,United States,U.S. Army,31,Afghanistan,Helmand,Helmand Province,non-hostile,incident,Utah,Ogden,2763885
2019-06-25,"Riley, Micheal B.",Master Sergeant,United States,U.S. Army,32,Afghanistan,Uruzgan,Uruzgan Province,hostile,hostile fire - small arms fire,Germany,Heilbronn,NA
2019-06-25,"Johnston, James G.",Sergeant,United States,U.S. Army,24,Afghanistan,Uruzgan,Uruzgan Province,hostile,hostile fire - small arms fire,New York,Trumansburg,19378102
2019-05-06,"Holmes, Miguel L.",Specialist,United States,U.S. Army,22,Afghanistan,Nangarhar,Nangarhar,non-hostile,incident,Georgia,Hinesville,9687653
2019-04-19,"Miller, Albert J.",Staff Sergeant,United States,U.S. Air Force,24,Afghanistan,NA,Al Udeid Air Base,non-hostile,incident,New Hampshire,Richmond,1316470
2019-04-08,"Slutman, Christopher K.A.",Staff Sergeant,United States,U.S. Marine Reserve,43,Afghanistan,Parwan,Bagram,hostile,hostile fire - bomb,New Jersey,Newark,8791894
2019-04-08,"Hines, Benjamin S.",Sergeant,United States,U.S. Marine Reserve,31,Afghanistan,Parwan,Bagram,hostile,hostile fire - bomb,Pennsylvania,York,12702379
2019-04-08,"Hendriks, Robert A.",Corporal,United States,U.S. Marine Reserve,25,Afghanistan,Parwan,Bagram,hostile,hostile fire - bomb,New York,Locust Valley,19378102
2019-03-22,"Collette, Joseph P.",Specialist,United States,U.S. Army,29,Afghanistan,Kunduz,Kunduz,hostile,hostile fire,Ohio,Lancaster,11536504
2019-03-22,"Lindsay, Will D.",Sergeant 1st Class,United States,U.S. Army,33,Afghanistan,Kunduz,Kunduz,hostile,hostile fire,Colorado,Cortez,5029196
2019-01-22,"Beale, Joshua Z.",Staff Sergeant,United States,U.S. Army,32,Afghanistan,Uruzgan,Tarin Kowt,hostile,hostile fire - small arms fire,Virginia,Carrollton,8001024
2019-01-13,"Meddock, Cameron A.",Sergeant,United States,U.S. Army,26,Afghanistan,Badghis,Landstuhl,hostile,friendly fire - small arms fire,Texas,Spearman,25145561
2018-12-13,"Mikeasky, Joshua",Private 1st Class,United States,U.S. Army,19,Afghanistan,Parwan,"Bagram Airfield, Bagram District",non-hostile,NA,Pennsylvania,Johnstown,12702379
2018-12-02,"McClary, Jason Mitchell",Sergeant,United States,U.S. Army,24,Afghanistan,Ghazni,Landstuhl,hostile,hostile fire - ied attack,Pennsylvania,Export,12702379
2018-11-27,"Emond, Eric Michael",Sergeant 1st Class,United States,U.S. Army,39,Afghanistan,Helmand,Andar,hostile,hostile fire,Washington,Brush Prairie,6724540
2018-11-27,"Ross, Andrew Patrick",Captain,United States,U.S. Army,29,Afghanistan,Ghazni,Andar,hostile,hostile fire - ied attack,Virginia,Lexington,8001024
2018-11-27,"Elchin, Dylan J.",Staff Sergeant,United States,U.S. Air Force,25,Afghanistan,Ghazni,Andar,hostile,hostile fire - ied attack,Pennsylvania,Hookstown,12702379
2018-11-03,"Taylor, Brent",Major,United States,U.S. Army National Guard,39,Afghanistan,Kabul,Kabul,hostile,hostile fire - small arms fire - green on blue,Utah,Ogden,2763885
2018-10-04,"Slape, James A.",Specialist,United States,U.S. Army National Guard,23,Afghanistan,Helmand,Helmand,hostile,hostile fire - ied attack,North Carolina,Morehead City,9535483
2018-09-04,"Sanagustin, Diobanjo S.",Staff Sergeant,United States,U.S. Army,32,Afghanistan,Parwan,Bagram Air Base,non-hostile,NA,California,National City,37253956
2018-09-03,"Bolyard, Timothy A.",Command Sergeant,United States,U.S. Army,42,Afghanistan,Logar,Forward Operating Base Shank,hostile,hostile fire - small arms fire - green on blue,West Virginia,Thornton,1852994
2018-08-12,"Transfiguracion, Reymund Rarogal",Staff Sergeant,United States,U.S. Army,36,Afghanistan,Helmand,Musa Qal'dal,hostile,hostile fire - ied attack,Hawaii,Waikoloa,1360301
2018-07-12,"Celiz, Christopher Andrew",Sergeant 1st Class,United States,U.S. Army,32,Afghanistan,Paktika,Zurmat,hostile,hostile fire - small arms fire,South Carolina,Summerville,4625364
2018-07-07,"Maciel, Joseph",Corporal,United States,U.S. Army,20,Afghanistan,Uruzgan,Tarin Kowt District,hostile,hostile fire - small arms fire - green on blue,California,South Gate,37253956
2018-04-30,"Conde, Gabriel D.",Specialist,United States,U.S. Army,22,Afghanistan,Nangarhar,Tagab District,hostile,hostile fire - small arms fire,Colorado,Loveland,5029196
2018-01-01,"Golin, Mihail",Sergeant 1st Class,United States,U.S. Army,34,Afghanistan,Nangarhar,Achin district,hostile,hostile fire,New Jersey,Fort Lee,8791894
2017-12-11,"Brabander, David Thomas",Staff Sergeant,United States,U.S. Army,24,Afghanistan,Nangarhar,Nangarhar,non-hostile,vehicle accident,Alaska,Anchorage,710231
2017-11-14,"Brown, Hughton O.",Sergeant 1st Class,United States,U.S. Army,43,Afghanistan,Unknown,Camp Buehring,non-hostile,NA,New York,Brooklyn,19378102
2017-11-04,"Cribben, Stephen B.",Sergeant 1st Class,United States,U.S. Army,33,Afghanistan,Logar,Logar province,hostile,hostile fire,California,Simi Valley,37253956
2017-10-28,"Sims, Jacob M.",Chief Warrant Officer,United States,U.S. Army,36,Afghanistan,Logar,Logar province (eastern),non-hostile,helicopter crash,Alaska,Juneau,710231
2017-08-16,"Butler, Aaron R.",Staff Sergeant,United States,U.S. Army,27,Afghanistan,Nangarhar,Nangarhar Province,hostile,hostile fire - ied attack,Utah,Monticello,2763885
2017-08-02,"Hunter, Jonathon Michael",Sergeant,United States,U.S. Army,23,Afghanistan,Kandahar,Kandahar,hostile,hostile fire - ied attack (vbied),Indiana,Columbus,6483802
2017-08-02,"Harris, Christopher Michael",Specialist,United States,U.S. Army,25,Afghanistan,Kandahar,Kandahar,hostile,hostile fire - ied attack (vbied),North Carolina,Jackson Springs,9535483
2017-07-03,"Kirkpatrick, Hansen B.",Private 1st Class,United States,U.S. Army,19,Afghanistan,Helmand,Helmand,hostile,hostile fire - indirect fire,Alaska,Wasilla,710231
2017-06-10,"Baldridge, Dillon C.",Corporal,United States,U.S. Army,22,Afghanistan,Nangarhar,Achin district,hostile,hostile fire - small arms fire - green on blue,North Carolina,Youngsville,9535483
2017-06-10,"Bays, William M.",Sergeant,United States,U.S. Army,29,Afghanistan,Nangarhar,Achin district,hostile,hostile fire - small arms fire - green on blue,California,Barstow,37253956
2017-06-10,"Houck, Eric M.",Sergeant,United States,U.S. Army,25,Afghanistan,Nangarhar,Achin district,hostile,hostile fire - small arms fire - green on blue,Maryland,Baltimore,5773552
2017-04-26,"Thomas, Cameron H.",Sergeant,United States,U.S. Army,23,Afghanistan,Nangarhar,southern Nangarhar province,hostile,hostile fire - small arms fire,Ohio,Kettering,11536504
2017-04-26,"Rodgers, Joshua P.",Sergeant,United States,U.S. Army,22,Afghanistan,Nangarhar,southern Nangarhar province,hostile,hostile fire - small arms fire,Illinois,Bloomington,12830632
2017-04-08,"De Alencar, Mark R.",Staff Sergeant,United States,U.S. Army,37,Afghanistan,Nangarhar,Nangarhar,hostile,hostile fire - small arms fire,Maryland,Edgewood,5773552
2017-03-19,"Boniface, Robert R.",Sergeant 1st Class,United States,U.S. Army,34,Afghanistan,Logar,Logar,non-hostile,NA,California,San Luis Obispo,37253956
2016-12-06,"Brown, Allan E.",Sergeant 1st Class,United States,U.S. Army,46,Afghanistan,Parwan,Walter Reed National Medical Center,hostile,hostile fire - suicide bomber,Maryland,Takoma Park,5773552
2016-11-12,"Lubelt, Tyler R.",Private 1st Class,United States,U.S. Army,20,Afghanistan,Parwan,Bagram Airfield,hostile,hostile fire - ied suicide bomber,Illinois,Tamaroa,12830632
2016-11-12,"Perry, John W.",Sergeant,United States,U.S. Army,30,Afghanistan,Parwan,Bagram Airfield,hostile,hostile fire - suicide bomber,California,Stockton,37253956
2016-11-03,"Byers, Andrew D.",Captain,United States,U.S. Army,30,Afghanistan,Kunduz,Kunduz,hostile,hostile fire,North Carolina,Rolesville,9535483
2016-10-20,"Sauro, Michael G.",Civilian,United States,Civilian,40,Afghanistan,Kabul,Kabul,hostile,hostile fire,Oklahoma,McAlester,3751351
2016-10-19,"Riney, Douglas J.",Sergeant,United States,U.S. Army,26,Afghanistan,Kabul,Kabul,hostile,hostile fire,Illinois,Fairview,12830632
2016-10-04,"Thomas, Adam S.",Staff Sergeant,United States,U.S. Army,31,Afghanistan,Nangarhar,Nangarhar,hostile,hostile fire,Maryland,Takoma Park,5773552
2016-08-23,"Thompson, Matthew V.",Staff Sergeant,United States,U.S. Army,28,Afghanistan,Helmand,Lashgar Gah,hostile,hostile fire - ied attack,California,Irvine,37253956
2016-08-14,"Wilbur, Christopher A.",Staff Sergeant,United States,U.S. Army,36,Afghanistan,Kandahar,Kandahar,non-hostile,NA,Illinois,Granite City,12830632
2016-06-21,"Clement, Andrew J.",Petty Officer 2nd Class,United States,U.S. Navy,38,Afghanistan,Unknown,Camp Lemonnier,non-hostile,NA,Massachusetts,Unknown,6547629
2016-01-26,"Bussell, Blane D.",Civilian,United States,U.S. Navy,60,Afghanistan,Unknown,Manama,non-hostile,NA,Virginia,Unknown,8001024
2016-01-05,"McClintock, Matthew Q.",Staff Sergeant,United States,U.S. Army,30,Afghanistan,Helmand,Marjah District,hostile,hostile fire - small arms fire,New Mexico,Albuquerque,2059179
2015-12-21,"Bonacasa, Louis M.",Staff Sergeant,United States,U.S. Air National Guard,31,Afghanistan,Parwan,Bagram,hostile,hostile fire - suicide bomber,New York,Coram,19378102
2015-12-21,"McBride, Chester J.",Staff Sergeant,United States,Unknown,30,Afghanistan,Parwan,Bagram,hostile,hostile fire - suicide bomber,Georgia,Statesboro,9687653
2015-12-21,"Taub, Peter W.",Staff Sergeant,United States,U.S. Air Force,30,Afghanistan,Parwan,Bagram,hostile,hostile fire - suicide bomber,Pennsylvania,Philadelphia,12702379
2015-12-21,"Cinco, Michael A.",Staff Sergeant,United States,U.S. Air Force,28,Afghanistan,Parwan,Bagram,hostile,hostile fire - suicide bomber,Texas,Mercedes,25145561
2015-12-21,"Lemm, Joseph G.",Technical Sergeant,United States,U.S. Air National Guard,45,Afghanistan,Parwan,Bagram,hostile,hostile fire - suicide bomber,New York,Bronx,19378102
2015-12-21,"Vorderbruggen, Adrianna",Major,United States,U.S. Air Force,36,Afghanistan,Parwan,Bagram,hostile,hostile fire - suicide bomber,Minnesota,Plymouth,5303925
2015-10-11,"Kuhse, Gregory T.",Master Sergeant,United States,U.S. Air Force,38,Afghanistan,Kabul,Kabul,non-hostile,helicopter crash,Michigan,Kalamazoo,9883640
2015-10-11,"Pelky, Phyllis J.",Major,United States,U.S. Air Force,45,Afghanistan,Kabul,Kabul,non-hostile,helicopter crash,New Mexico,Rio Rancho,2059179
2015-10-02,"Golden, Jonathan J.",Captain,United States,U.S. Air Force,33,Afghanistan,Nangarhar,Jalalabad Airfield,non-hostile,aircraft crash (c-130j),California,Camarillo,37253956
2015-10-02,"Sartain, Nathan C.",Senior Airman,United States,U.S. Air Force,29,Afghanistan,Nangarhar,Jalalabad Airfield,non-hostile,aircraft crash (c-130j),Florida,Pensacola,18801310
2015-10-02,"Johnson-Harris, Quinn L.",Senior Airman,United States,U.S. Air Force,21,Afghanistan,Nangarhar,Jalalabad Airfield,non-hostile,aircraft crash (c-130j),Wisconsin,Milwaukee,5686986
2015-10-02,"Hammond, Ryan D.",Staff Sergeant,United States,U.S. Air Force,26,Afghanistan,Nangarhar,Jalalabad Airfield,non-hostile,aircraft crash (c-130j),West Virginia,Moundsville,1852994
2015-10-02,"Pierson, Jordan B.",Captain,United States,U.S. Air Force,28,Afghanistan,Nangarhar,Jalalabad Airfield,non-hostile,aircraft crash (c-130j),Texas,Abilene,25145561
2015-10-01,"Ruiz,Kcey E.",Airman 1st Class,United States,U.S. Air Force,21,Afghanistan,Nangarhar,Jalalabad Airfield,non-hostile,aircraft crash (c-130j),Georgia,McDonough,9687653
2015-09-21,"Gilbert, Kyle E.",Specialist,United States,U.S. Army,24,Afghanistan,Parwan,Bagram,non-hostile,NA,Georgia,Buford,9687653
2015-08-26,"Roland, Matthew D.",Captain,United States,U.S. Air Force,27,Afghanistan,Helmand,Camp Antonik (near),hostile,hostile fire - small arms fire - green on blue,Kentucky,Lexington,4339367
2015-08-26,"Sibley, Forrest B.",Staff Sergeant,United States,U.S. Air Force,31,Afghanistan,Helmand,Camp Antonik (near),hostile,hostile fire - small arms fire - green on blue,Florida,Pensacola,18801310
2015-08-08,"McKenna Jr., Peter A.",Master Sergeant,United States,U.S. Army,35,Afghanistan,Kabul,Kabul,hostile,hostile fire - small arms fire,Rhode Island,Bristol,1052567
2015-06-08,"Davis,, Krissie K.",NA,United States,Civilian,54,Afghanistan,Parwan,Bagram Airbase,hostile,hostile fire - rocket attack (indirect fire),Alabama,Talladega,4779736
2015-05-24,"Ruiz, Pablo A.",Sergeant 1st Class,United States,U.S. Army,37,Afghanistan,Parwan,Bagram,non-hostile,NA,Florida,Melbourne,18801310
2015-04-08,"Dawson, John M.",Specialist,United States,U.S. Army,22,Afghanistan,Nangarhar,Jalalabad,hostile,hostile fire - small arms fire,Massachusetts,Whitinsville,6547629
2015-02-26,"Sanchez ,Maria V.",Major,United States,U.S. Air Force,42,Afghanistan,Kabul,Kabul,non-hostile,illness,California,Bakersfield,37253956
2014-12-12,"Morris, Ramon S.",Sergeant 1st Class,United States,U.S. Army,37,Afghanistan,Parwan,Parwan,hostile,hostile fire - ied attack,New York,New York,19378102
2014-12-12,"Martin, Wyatt J.",Specialist,United States,U.S. Army,22,Afghanistan,Parwan,Parwan,hostile,hostile fire - ied attack,Arizona,Mesa,6392017
2014-12-03,"Ammerman, Matthew R.",Staff Sergeant,United States,U.S. Army,29,Afghanistan,Zabul,Zabul,hostile,hostile fire - small arms fire,Indiana,Noblesville,6483802
2014-11-24,"Turner, Wardell B.",Sergeant Major,United States,U.S. Army,48,Afghanistan,Kabul,Kabul,hostile,hostile fire - ied attack (vbied),Maryland,Nanticoke,5773552
2014-11-24,"Riley, Joseph W.",Specialist,United States,U.S. Army,27,Afghanistan,Kabul,Kabul,hostile,hostile fire - ied attack (vbied),Ohio,Grove City,11536504
2014-11-14,"Cathcart, Michael A.",Sergeant 1st Class,United States,U.S. Army,31,Afghanistan,Kunduz,Kunduz,hostile,hostile fire,Michigan,Bay City,9883640
2014-10-24,"Kalafut, Christopher E.",Commander,United States,U.S. Navy,49,Afghanistan,Unknown,Doha,non-hostile,NA,California,Oceanside,37253956
2014-09-30,"Weathers, Andrew T.",Sergeant 1st Class,United States,U.S. Army,30,Afghanistan,Helmand,"Landstuhl Reg. Med. Center, Landstuhl, Germany",hostile,hostile fire - small arms fire,Louisiana,DeRidder,4533372
2014-09-16,"Donahue, Mchael J.",Major,United States,U.S. Army,41,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide car bomb (vbied),Ohio,Columbus,11536504
2014-09-16,"Byus, Stephen",civilian,United States,Civilian,39,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide car bomb (vbied),Ohio,Reynoldsburg,11536504
2014-09-15,"Strong, Charles C.",Sergeant,United States,U.S. Marine,28,Afghanistan,Herat,Herat,hostile,hostile fire - small arms fire - green on blue,Virginia,Suffolk,8001024
2014-09-04,"Arsenault, Brian K.",Specialist,United States,U.S. Army,28,Afghanistan,Ghazni,Ghazni,hostile,hostile fire - small arms fire,Massachusetts,Northborough,6547629
2014-08-22,"Mulalley, Christopher W.",Sergeant,United States,U.S. Army,26,Afghanistan,Paktia,Gardez,non-hostile,incident,California,Eureka,37253956
2014-08-20,"Leggett, Matthew I.",Sergeant 1st Class,United States,U.S. Army,39,Afghanistan,Kabul,Kabul,hostile,hostile fire - stabbed,Florida,Ruskin,18801310
2014-08-12,"Hairston, Samuel C.",Sergeant 1st Class,United States,U.S. Army,35,Afghanistan,Ghazni,Ghazni,hostile,hostile fire - small arms fire,Texas,Houston,25145561
2014-08-05,"Greene, Harold J.",Major General,United States,U.S. Army,55,Afghanistan,Kabul,Camp Qargha,hostile,hostile fire - small arms fire - green on blue,New York,Schenectady,19378102
2014-07-24,"Prange, Benjamin G.",Staff Sergeant,United States,U.S. Army,30,Afghanistan,Kandahar,Mirugol Kalay,hostile,hostile fire - ied attack,Nebraska,Hickman,1826341
2014-07-24,"Williams, Keith M.",Private 1st Class,United States,U.S. Army,19,Afghanistan,Kandahar,Mirugol Kalay,hostile,hostile fire - ied attack,California,Visalia,37253956
2014-07-24,"Hamilton, Jr., Donnell A.",Private 1st Class,United States,U.S. Army,20,Afghanistan,Ghazni,Brooke Army Medical Center,non-hostile,illness,Wisconsin,Kenosha,5686986
2014-06-25,"Spitzer, Thomas Z.",Sergeant,United States,U.S. Marine,23,Afghanistan,Helmand,Helmand,hostile,hostile fire,Texas,New Braunfels,25145561
2014-06-20,"Garabrant, Brandon J.",Lance Corporal,United States,ISAF,19,Afghanistan,Helmand,Helmand,hostile,hostile fire - ied attack,New Hampshire,Peterborough,1316470
2014-06-20,"Stewart, David H.",Staff Sergeant,United States,U.S. Marine,34,Afghanistan,Helmand,Helmand,hostile,hostile fire - ied attack,Virginia,Stafford,8001024
2014-06-20,"Wolff, Adam F.",Lance Corporal,United States,U.S. Marine,25,Afghanistan,Helmand,Helmand,hostile,hostile fire - ied attack,Iowa,Cedar Rapids,3046355
2014-06-09,"Toppen, Aaron S.",Private 2nd Class,United States,U.S. Army,19,Afghanistan,Zabul,Gaza Village,hostile,friendly fire,Illinois,Mokena,12830632
2014-06-09,"Helton, Justin R.",Specialist,United States,U.S. Army,25,Afghanistan,Zabul,Gaza Village,hostile,friendly fire,Ohio,Beaver,11536504
2014-06-09,"Studenmund, Scott R.",Staff Sergeant,United States,U.S. Army,24,Afghanistan,Zabul,Gaza Village,hostile,friendly fire,California,Pasadena,37253956
2014-06-09,"McDonald, Jason A.",Staff Sergeant,United States,U.S. Marine,23,Afghanistan,Zabul,Gaza Village,hostile,friendly fire,Georgia,Butler,9687653
2014-06-09,"Clouse, Justin R.",Corporal,United States,U.S. Army,22,Afghanistan,Zabul,Gaza Village,hostile,friendly fire,Washington,Sprague,6724540
2014-06-09,"Hurne, Terry J.",Specialist,United States,U.S. Army,34,Afghanistan,Logar,Logar province,non-hostile,NA,California,Merced,37253956
2014-06-05,"Walker, Matthew H.",Private 1st Class,United States,U.S. Army,20,Afghanistan,Paktika,Paktika,hostile,hostile fire,Missouri,Hillsboro,5988927
2014-06-02,"Jones, Jason B.",Captain,United States,U.S. Army,29,Afghanistan,Nangarhar,Jalalabad,hostile,hostile fire - small arms fire,Pennsylvania,Orwigsburg,12702379
2014-05-28,"Wykstra, Jacob H.",Private 1st Class,United States,U.S. Army,21,Afghanistan,Kandahar,Maruf district,non-hostile,helicopter crash,Colorado,Thornton,5029196
2014-05-17,"Perkins, Adrian M.",Specialist,United States,U.S. Army,19,Afghanistan,Unknown,Jordan,non-hostile,NA,California,Pine Valley,37253956
2014-05-13,"Barreras, Martin R",Command Sergeant Major,United States,U.S. Army,49,Afghanistan,Herat,"San Antonio Military Medical Center, Texas",hostile,hostile fire - small arms fire,Arizona,Tucson,6392017
2014-05-11,"Rasmussen, Deric M.",Chief Warrant Office,United States,U.S. Army,33,Afghanistan,Balkh,Mazar E Sharif,non-hostile,NA,California,Oceanside,37253956
2014-04-30,"Daniela, Rojas",Private 1st Class,United States,U.S. Army,19,Afghanistan,Unknown,"Landstuhl Reg. Med. Center, Landstuhl, Germany",non-hostile,NA,California,Los Angeles,37253956
2014-04-28,"Farrell II, Shawn M.",Sergeant,United States,U.S. Army,24,Afghanistan,Kapisa,Nejrab District,hostile,hostile fire - small arms fire,New York,Accord,19378102
2014-04-28,"Chandler, Christian J.",Private 1st Class,United States,U.S. Army,20,Afghanistan,Logar,Baraki Barak District,hostile,hostile fire - small arms fire,Texas,Trenton,25145561
2014-04-15,"Danyluk, Kerry M. G.",Specialist,United States,U.S. Army,27,Afghanistan,Logar,"Landstuhl Regional Medical Center, Germany",hostile,hostile fire - small arms fire,Texas,Cuero,25145561
2014-04-01,"Chaffin III, James E.",Captain,United States,U.S. Army,27,Afghanistan,Kandahar,Kandahar,non-hostile,NA,South Carolina,West Columbia,4625364
2014-02-28,"Erickson, Caleb L.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Helmand,Helmand,hostile,hostile fire - ied attack,Minnesota,Waseca,5303925
2014-02-28,"Poirier, David L.",Master Sergeant,United States,U.S. Air Force,52,Afghanistan,Unknown,Unknown,non-hostile,NA,Rhode Island,North Smithfield,1052567
2014-02-15,"Torian, Aaron C.",Master Sergeant,United States,U.S. Marine,36,Afghanistan,Helmand,Helmand,hostile,hostile fire - ied attack,Kentucky,Paducah,4339367
2014-02-12,"Skelt, Roberto C.",Sergeant,United States,U.S. Army,41,Afghanistan,Kapisa,Kapisa,hostile,hostile fire - small arms fire - green on blue,Florida,York,18801310
2014-02-12,"Pelham, John A.",Specialist,United States,U.S. Army,22,Afghanistan,Kapisa,Kapisa,hostile,hostile fire - small arms fire - green on blue,Oregon,Portland,3831074
